1.	가장 오랫동안 연구한 마법 학파는 무엇입니까?
a.	파괴마법
	#4300
	!4301
	22 +6
b.	회복마법
	#4302
	!4303
	23 +6
c.	환영술
	#4304
	!4305
	24 +6
d.	변화마법
	#4306
	!4307
	25 +6
e.	기적술
	#4308
	!4309
	26 +6
f.	신비마법
	#4310
	!4311
	27 +6

2.	모험의 길을 걷게 된 동기는 무엇입니까?
a.	부
	#4162
	GP +500
b.	명성
	#4163
	r4 +10
	r2 +10
c.	지식
	#4164
	IT 7 0 0
d.	재미
	#4165
	1 +3
	2 +3
e.	타인 돕기
	#4166
	r0 +10

3.	정규 학업 외에 당신은 주로 ___하며 시간을 보냈습니다.
a.	귀족들과 사교 활동
	#4260
	1 +6
	r3 +5
	r0 -5
b.	거리의 지혜 습득
	#4261
	2 +6
	r0 +2
	r4 +3
	r3 -5
c.	곡예 연습
	#4262
	3 +2
	20 +2
	18 +2
d.	경제학 학습
	#4263
	14 +6
e.	수영
	#4265
	17 +6
f.	대련
	#4266
	30 +6

4.	어린 시절부터 당신은 ___ 항목을 모았습니다.
a.	금화 100닢
	#4167
	GP +100
b.	가장 좋아하는 책
	#4168
	IT 7 0 0
c.	흉갑
	#4169
	IT 2 0 1
d.	엘프식 도리깨
	#4195
	IT 3 12 3

5.	황제는 공로에 대한 보답으로 당신에게 ___ 항목을 주었습니다.
a.	금화 200닢 이상
	#4172
	GP +250
b.	에보니 단검
	#4173
	IT 3 0 7
c.	책
	#4174
	IT 7 0 0
d.	루비
	#4175
	IT 14 0 0
e.	은 지팡이
	#4176
	IT 3 2 2
f.	갑옷 한 벌
	#4196
	IT 2 0 0
	IT 2 2 0
	IT 2 3 0
	IT 2 4 0

6.	성장하면서 당신은 추가로 ___에 대한 마법 훈련을 받았습니다.
a.	파괴마법 학파
	22 +6
b.	회복마법 학파
	23 +6
c.	환영마법 학파
	24 +6
d.	변화마법 학파
	25 +6
e.	기적술 학파
	26 +6
f.	신비마법 학파
	27 +6

7.	어린 시절 당신의 별명은 ___였습니다.
a.	토끼
	3 +6
b.	구피
	17 +6
c.	퀵실버
	21 +6
d.	싸움꾼
	30 +6
e.	원숭이
	18 +6

8.	당신은 다른 사람들보다 ___ 쪽과 더 친합니다.
a.	사나운 하피
	5 +6
b.	단순한 거인
	6 +6
c.	영광스러운 드래곤
	7 +6
d.	수줍음 없는 님프
	8 +6
e.	지옥의 데이드라
	9 +6
f.	전원적인 스프리건
	10 +6
g.	원시적인 켄타우로스
	11 +6
h.	장난꾸러기 임프
	12 +6

9.	모든 불쾌한 유형 중, 당신이 가장 개인적으로 증오하는 것은 ___입니다.
a.	독선적인 사제
	AE M 8 12 +3
b.	사악한 마법사
	AE M 8 2 +4
c.	멍청한 농부
	AE M 8 8 +3
d.	권력에 미친 약탈 귀족
	AE M 8 17 +4
e.	부도덕한 암살자
	AE M 8 11 +2

10.	당신은 ___ 쪽과 막역한 친구입니다.
a.	수도사
	AF O 8 12 +1
b.	마법사
	AF O 8 2 +1
c.	도적
	AF O 8 8 +1
d.	전사
	AF O 8 17 +1
e.	암살자
	AF O 8 11 +1

11.	어떤 신을 숭배하십니까?
a.	없음
	r2 +5
b.	아케이, 삶과 죽음의 신 rf82 +5
c.	제니타르, 상업의 신 rf84 +5
d.	마라, 어머니 여신 rf88 +5
e.	디벨라, 미의 여신 rf98 +5
f.	줄리아노스, 논리의 신 rf94 +5
g.	아카토쉬, 시간의 신 rf92 +5
h.	스텐다르, 자비의 신 rf106 +5
i.	키나레스, 공기의 여신 rf36 +5

12.	당신이 가장 어려워하는 것은 ___입니다.
a.	독 저항
	RP -10
b.	깨어 있는 상태 유지
	FT -5
c.	타인과 원만하게 지내기 &
	RR -5
d.	질병 예방
	RD -5
e.	마법 저항
	MR -5
f.	마법 없이 싸우기
	TH -5

